train_acc,train_loss,val_acc,val_loss
0.04842105263157895,4.2453375,0.064,4.0089226
0.08374736842105264,3.9034204,0.1076,3.728231
0.12018947368421053,3.6490583,0.1096,3.6757617
0.16391578947368418,3.4194524,0.15839999999999999,3.4283657
0.20191578947368422,3.1908529,0.21240000000000003,3.1455986
0.24187368421052632,2.979056,0.254,2.9341264
0.276,2.798822,0.2808,2.7462664
0.30713684210526315,2.6405385,0.32239999999999996,2.5733216
0.3385263157894737,2.5022476,0.332,2.5350242
0.3649263157894737,2.3790293,0.3731999999999999,2.4038165
0.38854736842105264,2.2784193,0.3863999999999999,2.3046603
0.40541052631578944,2.1906424,0.398,2.2370975
0.4242315789473684,2.1069288,0.4244,2.1615407
0.4446526315789473,2.0272043,0.4304,2.1110933
0.4591578947368421,1.9717535,0.41839999999999994,2.184153
0.4717894736842105,1.9083533,0.4527999999999999,2.0333056
0.48341052631578946,1.8553426,0.44880000000000003,2.0079448
0.4960421052631579,1.8034419,0.4668,1.9406035
0.5073263157894737,1.7491956,0.47400000000000003,1.8922877
0.5159578947368422,1.7170346,0.49439999999999995,1.8529092
0.5267578947368421,1.6738223,0.48800000000000004,1.867528
0.5394315789473685,1.6366414,0.4768,1.9173158
0.5485684210526316,1.6010048,0.5068,1.8436787
0.5530736842105264,1.5667368,0.49920000000000003,1.8416322
0.5588842105263159,1.5395269,0.5167999999999999,1.7483269
0.5680842105263157,1.50469,0.518,1.777516
0.5741263157894737,1.4783313,0.5404,1.6910499
0.5845894736842105,1.4486536,0.5196,1.739758
0.5886105263157895,1.4203572,0.5347999999999999,1.7028912
0.5931578947368421,1.4032761,0.534,1.7061077
0.6021473684210525,1.3676531,0.5476,1.616034
0.6046526315789474,1.3548304,0.5372,1.7224803
0.6121894736842104,1.3360051,0.534,1.7259058
0.6195789473684211,1.307952,0.5451999999999999,1.6759225
0.6250736842105262,1.2868994,0.538,1.6964568
0.6296631578947369,1.2586033,0.5384,1.6870971
0.6325894736842106,1.2484565,0.5428000000000001,1.6680392
0.6401473684210525,1.2190391,0.5536,1.6516267
0.6457052631578947,1.2041005,0.552,1.6460704
0.6460421052631579,1.1955602,0.5564,1.6452916
0.6531157894736842,1.1727967,0.5496,1.6557329
0.6582315789473684,1.15393,0.5632,1.6699557
0.6621684210526315,1.1368512,0.5548000000000001,1.6030152
0.6660842105263157,1.1220449,0.5656,1.6135123
0.6682105263157895,1.1090889,0.5780000000000001,1.5912994
0.6754105263157896,1.087777,0.5611999999999999,1.63406
0.6794947368421053,1.0709362,0.5688,1.6421905
0.6850526315789474,1.0543764,0.57,1.6071647
0.6882526315789472,1.03682,0.5804,1.5605313
0.6945052631578947,1.0221891,0.5720000000000001,1.6155486
0.6947157894736841,1.0133666,0.5804,1.6454558
0.7001473684210526,0.9949344,0.5824,1.6176736
0.7009894736842106,0.9817993,0.56,1.6511836
0.7050315789473683,0.96840817,0.5828,1.6192169
0.7111999999999999,0.9502468,0.5796,1.6239113
0.7132,0.9495333,0.5836000000000001,1.6130539
0.7175157894736842,0.92771983,0.582,1.6358886
0.720336842105263,0.9203225,0.5756000000000001,1.6607333
0.7259368421052631,0.90429753,0.5932,1.6326674
0.728778947368421,0.89441985,0.5756,1.6588416
0.7300421052631579,0.8763499,0.582,1.6275766
0.7326947368421053,0.8664665,0.5848,1.5965989
0.7360631578947369,0.86063904,0.59,1.6329383
0.7424,0.84239185,0.5936,1.6326501
0.7447368421052631,0.83148384,0.5832,1.6515889
0.7466526315789473,0.8237901,0.58,1.6296307
0.7514736842105263,0.8069517,0.5804,1.6616539
0.7512631578947369,0.8022196,0.5844,1.645164
0.7534105263157895,0.7979636,0.5856,1.6486976
0.7573473684210527,0.7793906,0.5816,1.6581649
0.7617894736842105,0.7739997,0.5924,1.6484714
0.7654105263157894,0.75960314,0.5976,1.6236614
0.7650947368421052,0.7570388,0.5904,1.6694738
0.7692,0.74625885,0.5928,1.6600538
0.7713052631578947,0.73767275,0.5908,1.6601137
0.7744842105263158,0.7277623,0.5964,1.6394153
0.7752842105263158,0.7238316,0.5903999999999999,1.6692643
0.7765684210526316,0.717436,0.5923999999999999,1.6702745
0.7823789473684211,0.70682114,0.5943999999999999,1.6502959
0.7813473684210526,0.69954425,0.5907999999999999,1.6896803
0.7825684210526317,0.7005862,0.5884,1.6823261
0.7847368421052632,0.68757826,0.5951999999999998,1.6700155
0.7858105263157894,0.68490124,0.594,1.6860977
0.7886947368421052,0.6738296,0.5920000000000001,1.6771623
0.7878315789473684,0.67940384,0.5916,1.6868652
0.7902105263157895,0.6697571,0.5908,1.6877627
0.7897684210526317,0.6698762,0.59,1.687098
0.7915578947368421,0.66121155,0.5868,1.6898055
0.7963157894736842,0.65403557,0.5848,1.7039984
0.7958105263157894,0.6528944,0.5904,1.6914608
0.7959999999999999,0.65040165,0.5976,1.6940573
0.7973263157894738,0.6448868,0.5928,1.7027807
0.7988000000000001,0.6435788,0.5916,1.7142341
0.7984,0.64386386,0.5924,1.7027216
0.7986947368421052,0.64580935,0.5876,1.7224977
0.7997263157894737,0.6389152,0.5968,1.7032676
0.8016210526315789,0.63688785,0.5943999999999999,1.7012603
0.8021473684210526,0.6354825,0.5948,1.7047046
0.8008421052631578,0.6351971,0.586,1.7162616
0.8004,0.6349502,0.5924,1.7128719
