train_acc,train_loss,val_acc,val_loss
0.04071428571428572,4.2195015,0.06576923076923077,4.058541
0.07575630252100841,3.9298778,0.09115384615384615,3.8488367
0.12128151260504202,3.671559,0.11538461538461539,3.7716193
0.16504201680672267,3.4346123,0.12615384615384617,3.6799493
0.2121218487394958,3.1628325,0.1896153846153846,3.5157282
0.26000000000000006,2.8996167,0.25076923076923074,2.968404
0.2982983193277311,2.70992,0.2511538461538461,3.0804617
0.32806722689075624,2.5703857,0.28307692307692306,2.7763557
0.3547268907563026,2.4491305,0.2988461538461539,2.757237
0.37468487394957983,2.3459682,0.3576923076923077,2.4274445
0.39109243697478996,2.2631996,0.32807692307692304,2.5814822
0.40462184873949586,2.2029626,0.3407692307692308,2.6626031
0.41699579831932776,2.1452541,0.31846153846153846,2.7404861
0.4274999999999999,2.0921314,0.34961538461538455,2.49336
0.43686974789915967,2.0656114,0.3423076923076923,2.6584578
0.44147058823529417,2.0291126,0.34538461538461535,2.5370874
0.4498739495798319,1.9993588,0.3984615384615384,2.3582559
0.4549579831932773,1.9775276,0.4126923076923077,2.2316267
0.46285714285714286,1.9470845,0.39961538461538465,2.2663438
0.4652731092436974,1.9372959,0.4230769230769231,2.1526647
0.4713655462184874,1.9072486,0.36730769230769234,2.4447265
0.4765336134453782,1.8856916,0.37461538461538463,2.5112402
0.48060924369747904,1.875723,0.43730769230769234,2.0836232
0.48546218487394954,1.8657271,0.4165384615384615,2.2801092
0.4822058823529411,1.8584017,0.4176923076923076,2.1926732
0.48850840336134455,1.8380996,0.4223076923076924,2.156821
0.49481092436974794,1.8287767,0.4380769230769231,2.0847
0.4943067226890756,1.8146344,0.4284615384615384,2.2755628
0.4978151260504201,1.7970408,0.14653846153846153,6.7066145
0.4986764705882353,1.7927781,0.40461538461538454,2.2193022
0.5045798319327731,1.7853904,0.4342307692307692,2.143359
0.502310924369748,1.7841607,0.41538461538461535,2.2379818
0.5051890756302521,1.7732077,0.3630769230769231,2.6793306
